ano_mes,trimestre,qtd,qtd_indicador,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,197,77,C1,B2,C3,A4,B5,B6,D1,C2,C3,C8
202501,01T25,319,123,C1,A2,C3,C4,B5,A6,B1,C2,C3,C8
202501,01T25,57,28,C1,B2,A3,C4,C5,A6,D1,A2,A3,C10
202501,01T25,188,188,B1,B2,A3,C4,A5,C6,B1,D2,D3,C8
202501,01T25,114,114,B1,C2,B3,C4,A5,C6,B1,D2,A3,C7
202501,01T25,57,57,C1,A2,A3,C4,A5,C6,A1,D2,C3,C3
202501,01T25,460,460,A1,A2,B3,C4,B5,B6,A1,B2,B3,C5
202501,01T25,30,30,A1,C2,A3,C4,A5,C6,C1,A2,C3,C9
202501,01T25,372,202,C1,A2,A3,B4,C5,A6,D1,D2,C3,C4
202501,01T25,1125,910,C1,C2,B3,A4,A5,A6,D1,B2,A3,C2
202501,01T25,63,57,A1,C2,B3,A4,C5,A6,A1,C2,B3,C5
202501,01T25,218,156,B1,C2,A3,A4,A5,A6,C1,B2,A3,C8
202501,01T25,27,18,C1,A2,A3,A4,B5,B6,C1,C2,C3,C7
202501,01T25,17,17,A1,C2,C3,C4,A5,C6,A1,A2,A3,C10
202501,01T25,9,9,B1,B2,A3,B4,A5,A6,B1,D2,A3,C4
202501,01T25,64,63,B1,B2,C3,C4,B5,B6,C1,D2,B3,C7
202501,01T25,208,158,C1,A2,A3,A4,A5,B6,B1,C2,A3,C9
202501,01T25,20,20,A1,B2,A3,B4,A5,A6,B1,A2,B3,C1
202501,01T25,6,6,C1,C2,C3,C4,C5,C6,C1,C2,A3,C4
202501,01T25,485,452,A1,B2,C3,A4,A5,C6,C1,D2,B3,C5
202501,01T25,231,222,C1,B2,B3,A4,A5,B6,A1,D2,C3,C9
202501,01T25,358,358,C1,B2,C3,C4,A5,C6,B1,D2,A3,C5
202501,01T25,64,52,B1,A2,C3,B4,C5,C6,B1,D2,A3,C7
202501,01T25,83,35,C1,A2,B3,A4,A5,A6,D1,A2,B3,C1
202501,01T25,366,358,C1,B2,A3,C4,A5,C6,A1,A2,C3,C6
202501,01T25,326,326,B1,B2,C3,C4,B5,B6,A1,C2,A3,C5
202501,01T25,71,55,A1,C2,C3,C4,A5,C6,C1,A2,A3,C9
202501,01T25,270,249,A1,B2,C3,A4,A5,B6,D1,D2,B3,C7
202501,01T25,81,48,C1,A2,C3,A4,B5,A6,A1,A2,A3,C2
202501,01T25,596,595,C1,C2,A3,A4,A5,A6,A1,A2,A3,C1
202501,01T25,267,110,A1,C2,B3,A4,B5,C6,B1,B2,D3,C10
202501,01T25,175,92,C1,B2,B3,A4,B5,C6,C1,B2,B3,C10
202501,01T25,587,512,B1,A2,C3,B4,B5,A6,B1,D2,B3,C3
202501,01T25,529,56,B1,A2,A3,A4,B5,A6,C1,A2,D3,C9
202501,01T25,576,191,A1,C2,C3,A4,A5,A6,D1,A2,C3,C7
202501,01T25,63,63,A1,C2,A3,A4,A5,A6,C1,D2,B3,C1
202501,01T25,8,8,C1,A2,B3,A4,A5,A6,C1,D2,C3,C2
202501,01T25,126,121,C1,B2,B3,C4,B5,B6,C1,D2,D3,C3
202501,01T25,490,305,C1,B2,A3,C4,B5,A6,B1,B2,B3,C10
202501,01T25,445,212,C1,B2,C3,A4,C5,A6,A1,B2,B3,C6
202501,01T25,602,146,C1,A2,A3,A4,C5,C6,D1,C2,C3,C9
202501,01T25,361,203,A1,A2,A3,A4,B5,A6,C1,B2,A3,C9
202501,01T25,285,285,B1,B2,B3,A4,A5,B6,C1,C2,A3,C4
202501,01T25,222,214,A1,C2,C3,B4,B5,A6,A1,D2,B3,C6
202501,01T25,297,210,C1,B2,B3,A4,C5,A6,B1,B2,B3,C1
202501,01T25,148,115,C1,B2,B3,A4,B5,B6,C1,A2,C3,C1
202501,01T25,118,105,A1,C2,C3,A4,A5,A6,C1,D2,A3,C6
202501,01T25,639,245,C1,A2,B3,A4,C5,B6,C1,D2,C3,C9
202501,01T25,99,90,B1,C2,B3,B4,C5,B6,B1,D2,D3,C6
202501,01T25,77,77,C1,B2,A3,B4,A5,B6,A1,D2,C3,C5
202501,01T25,131,74,A1,B2,B3,B4,B5,A6,D1,A2,D3,C5
202501,01T25,93,26,B1,C2,B3,A4,C5,A6,D1,A2,A3,C7
202501,01T25,11,10,B1,B2,B3,C4,C5,C6,D1,D2,D3,C8
202501,01T25,1193,818,C1,B2,A3,A4,C5,A6,C1,A2,A3,C4
202501,01T25,186,81,C1,A2,B3,B4,A5,A6,D1,B2,B3,C7
202501,01T25,343,336,C1,A2,A3,B4,A5,B6,B1,B2,B3,C5
202501,01T25,846,642,B1,A2,C3,A4,A5,C6,B1,D2,B3,C6
202501,01T25,245,245,B1,A2,A3,A4,B5,C6,A1,B2,A3,C2
202501,01T25,41,27,A1,B2,B3,A4,A5,A6,D1,D2,C3,C10
202501,01T25,116,116,B1,C2,A3,C4,B5,C6,C1,B2,B3,C4
202501,01T25,357,329,A1,B2,B3,C4,B5,B6,C1,D2,D3,C9
202501,01T25,614,614,A1,C2,A3,B4,A5,B6,B1,D2,D3,C5
202501,01T25,344,178,C1,B2,B3,C4,A5,C6,C1,A2,C3,C9
202501,01T25,24,24,C1,B2,C3,B4,A5,B6,B1,D2,D3,C3
202501,01T25,164,38,C1,C2,B3,B4,C5,A6,D1,B2,C3,C8
202501,01T25,129,95,B1,A2,C3,A4,A5,B6,D1,C2,A3,C7
202501,01T25,1,1,A1,C2,B3,A4,A5,B6,D1,B2,C3,C4
